"Marca temporal","Degree","ACIERTOS","Grade","Perception","V1_0_10","V2_0_10","V3_0_10","V4_10_10","V5_0_10","V6_0_10","V7_0_10","VALORA1","VALORA2","VALORA3","VALORA4","VALORA5","VALORA6","VALORA7","Visualization","P1","R_P1","P2","R_P2","P3","R_P3","P4","R_P4","P5","R_P5","P6","R_P6","P7","R_P7","P8","R_P8","P9","R_P9","P10","R_P10","P11","R_P11","P12","R_P12","P13","R_P13","P14","R_P14","P15","APRENDIZAJE1","APRENDIZAJE2"
3/8/2023 11:49:02,"TE",4,3.08,4.64,5.00,5.00,5.00,5.00,2.50,5.00,5.00,3,3,3,3,2,3,3,"Slides","A","Fallo","B","Acierto","D","Acierto","D","Fallo","C","Fallo","D","Fallo","B","Fallo","B",,"B","Fallo","C","Fallo","C","Fallo","B","Acierto","C","Fallo","B","Acierto","Envia el paquete
",,"si podria ser mejor"
3/8/2023 11:53:27,"TE",9,6.92,4.29,5.00,2.50,2.50,2.50,5.00,5.00,7.50,3,2,2,2,3,3,4,"3DAnimation","C","Acierto","B","Acierto","D","Acierto","C","Fallo","D","Acierto","C","Acierto","C","Fallo","B",,"D","Fallo","D","Acierto","C","Fallo","B","Acierto","D","Acierto","B","Acierto","r1 recibe la trama Ethernet y pregunta a través de ARP la direccion de destino de la trama, las otras máquinas procesan la respuesta y cuando la tiene r1 reenvía el mensaje.",,"Me habría sido indiferente ya que al final el procesamiento de lo que estoy viendo depende exclusivamente de lo que no entiendo, no lo que veo y/o como lo veo. Entonces aunque me habría gustado poder probarlas, no creo que habría mejorado mi rendimiento."
3/8/2023 11:53:32,"TE",8,6.15,6.07,7.50,5.00,2.50,5.00,7.50,7.50,7.50,4,3,2,3,4,4,4,"3DAnimation","C","Acierto","B","Acierto","D","Acierto","A","Acierto","A","Fallo","C","Acierto","B","Fallo","B",,"C","Acierto","A","Fallo","D","Fallo","A","Fallo","D","Acierto","B","Acierto","r1 lee el mensaje, lo procesa y ve que ruta y que camino es más rápido y eficiente para hacer llegar el mensaje a pc4, envía el mensaje a r2 y a r3 para que puedan enviar el mensaje al otro hub y enviarselo a pc4 ","Ha sido útil ver la animación ya que es de mucha ayuda ver las animaciones y el orden en el que la máquina envia los mensajes y las capas del mensaje, el interesante verlo así más que escrito y con dibujos",
3/8/2023 11:53:43,"TE",8,6.15,7.50,7.50,5.00,7.50,10.00,7.50,7.50,7.50,4,3,4,5,4,4,4,"VR","C","Acierto","B","Acierto","C","Fallo","D","Fallo","D","Acierto","D","Fallo","A","Fallo","A",,"C","Acierto","B","Fallo","B","Acierto","B","Acierto","D","Acierto","B","Acierto","De primeras se escribe en su cahce ARP de r1 la direccion de pc1, luego lo encapsula en IP y despues en ethernet para enviarlo por la red eth1 buscando a r3","En parte es bastante mas inmersivo que verlo en papel o por un video por lo que me ha aydado a terminar de captar ciertos conceptos que no tenia del todo claro",
3/8/2023 11:54:06,"TE",5,3.85,6.43,5.00,5.00,10.00,10.00,0.00,10.00,5.00,3,3,5,5,,5,3,"3DAnimation","C","Acierto","B","Acierto","C","Fallo","B","Fallo","C","Fallo","D","Fallo","C","Fallo","D",,"C","Acierto","B","Fallo","B","Acierto","B","Acierto","A","Fallo","A","Fallo","Cuando a r1 le llega la trama, pregunta a r2 donde esta la direccion destino de este paquete porque tiene en su tabla que para acceder a una maquina de sa red tiene que pasar por r3, este pregunta por esa direccion y pc4 le responde, r3 le envia esa respuesta a r1","Si me ha ayudado a ver en que orden se envía cada una de las partes del paquete, si se envían a todas las maquina de la red o solo a la destinataria, y quienes lo procesan o no",
3/8/2023 11:54:09,"TE",3,2.31,3.21,5.00,5.00,2.50,2.50,5.00,0.00,2.50,3,3,2,2,3,1,2,"3DAnimation","A","Fallo","C","Fallo","C","Fallo","B","Fallo","C","Fallo","D","Fallo","B","Fallo","A",,"D","Fallo","D","Acierto","C","Fallo","D","Fallo","D","Acierto","B","Acierto","r1 procesa la orden que le transmiten, que es la de usar una ruta eficiente a pc4 con lo que tendrá que reenviar dicha información, que lo hará a través de eth1 , el datagrama IP, a r2 y r3( que también procesan el mensaje) para que llegue a la dirección destino que en este caso es la de pc4.","Sí, porque te indican toda la información necesaria para poder saber los datos de todas las máquinas. Además, te indican el orden de todo el camino que lleva.",
3/8/2023 11:54:30,"TE",8,6.15,5.71,7.50,7.50,5.00,5.00,5.00,2.50,7.50,4,4,3,3,3,2,4,"3DAnimation","C","Acierto","B","Acierto","A","Fallo","B","Fallo","D","Acierto","D","Fallo","D","Acierto","D",,"B","Fallo","C","Fallo","B","Acierto","B","Acierto","D","Acierto","B","Acierto",,"No mucho",
3/8/2023 11:54:31,"TE",3,2.31,5.36,5.00,5.00,2.50,2.50,7.50,7.50,7.50,3,3,2,2,4,4,4,"3DAnimation","B","Fallo","D","Fallo","C","Fallo","B","Fallo","D","Acierto","D","Fallo","D","Acierto","B",,"C","Acierto","C","Fallo","A","Fallo","C","Fallo","C","Fallo","A","Fallo",,"Si, ya que al ver la animación directamente, se aprecian mucho mejor las cosas.",
3/8/2023 11:55:52,"TE",5,3.85,3.57,2.50,5.00,2.50,2.50,5.00,2.50,5.00,2,3,2,2,3,2,3,"3DAnimation","B","Fallo","B","Acierto","A","Fallo",,"Fallo",,"Fallo","A","Fallo","D","Acierto",,,"D","Fallo","D","Acierto",,"Fallo","B","Acierto","D","Acierto","A","Fallo",,,"En mi opinión sí, ya que te metes dentro de la animación y puedes ver toda la información de manera más clara"
3/8/2023 11:56:23,"TE",6,4.62,5.71,2.50,2.50,7.50,5.00,10.00,10.00,2.50,2,2,4,3,5,5,2,"VR","C","Acierto","B","Acierto","D","Acierto","C","Fallo","C","Fallo","C","Acierto","A","Fallo","B",,"D","Fallo","A","Fallo","B","Acierto","B","Acierto","A","Fallo","A","Fallo","Le llega la información de la trama Ethernet que contiene el datagrama IP y procesa la información del procotolo Ethernet y del IP, busca en la memoria/cache donde se encuentra el pc4 para poder enviar la información bien, si en la memoria no tiene localizado el pc4, lo manda a todos sus vecinos (direcciones IP, con la misma direccion IP destino), una vez que ya sabe por donde enviar la trama lo hace y se guarda los datos que no conocia y que ahora conoce (solicitudes)","Si me ha ayudado a entender de una manera mas visual lo que pasa cada vez que se envia una trama y todos los datos que se van transportando o que descubre y que los pasa al siguiente nivel con él para poder guardarselos en el cache y que le sea mas facil poder tener todo ubicado. Ademas te ayuda a saber el orden en el que se van transportando las cosas.",
