Marca temporal,GRADO,ACIERTOS,NOTA,VALORA_MEDIA,VALORA1,VALORA2,VALORA3,VALORA4,DEMO,P1,R_P1,P2,R_P2,P3,R_P3,P4,R_P4,P5,R_P5,P6,APRENDIZAJE1,APRENDIZAJE2
4/19/2023 11:28:20,"ITT,IST,IT",4,8.00,8.50,4,4,4,5,Diapositivas,B,Acierto,A,Acierto,C,Acierto,B,Acierto,B,Fallo,El establecimiento de conexión en TCP sirve para iniciar la comunicación y para permitir que las dos máquinas conozcan el buffer de cada máquina y la cantidad de bytes que pueden enviarse en cada sentido,,"Sí, porque podría haber visto de una forma más detallada el intercambio de paquetes TCP entre las máquinas"
4/19/2023 11:30:02,"ITT,IST,IT",1,2.00,4.00,2,2,2,2,Animacion3D,A,Fallo,B,Fallo,A,Fallo,B,Acierto,D,Fallo,,Pienso que es mejor responder viendo las diapositivas de teoría ya que te enteras mejor de la información.,
4/19/2023 11:33:17,"ITT,IST,IT",4,8.00,2.00,1,1,1,1,Animacion3D,B,Acierto,A,Acierto,C,Acierto,D,Fallo,C,Acierto,No tengo mucha idea de ello,"Si, considero que es más útil",
4/19/2023 11:34:50,"ITT,IST,IT",0,0.00,4.50,3,2,2,2,Diapositivas,C,Fallo,B,Fallo,B,Fallo,A,Fallo,B,Fallo,Porque le permite dialogar con otra aplicación situada en un puerto de una máquina remota,,así está bien
4/19/2023 11:44:40,"ITT,IST,IT",5,10.00,6.00,3,2,3,4,Diapositivas,B,Acierto,A,Acierto,C,Acierto,B,Acierto,C,Acierto,"Una maquína lanza el servidor, la maquina que quiere conectarse envia el flag SYN y el servidor le responde con los flags SYN y ACK  y finalmente el cliente le envía el flag ACK estableciendo la conexión para el intercambio de datagramas entre el servidor y el cliente.",,
4/19/2023 11:45:34,"ITT,IST,IT",1,2.00,4.00,2,2,2,2,Animacion3D,A,Fallo,B,Fallo,B,Fallo,A,Fallo,C,Acierto,Sirve para llevar de manera fiable y bidireccinal una serie de datos ,En mi opinion si ayuda a responder a las preguntas ,
4/19/2023 11:45:39,"ITT,IST,IT",1,2.00,5.00,3,3,2,2,Diapositivas,C,Fallo,A,Acierto,B,Fallo,A,Fallo,B,Fallo,"Sirve para que 2 máquinas se pueden enviar datos simultáneamente de extremo a extremo.
Se trata de una conexión fiable, es decir es una conexión para que no se pierdan, se desordenen los datos que se puede producir en el protocolo IP. Como es un servicio fiable , el receptor puede descartar los datos duplicados y reordenar los segmentos.
Cada máquina puede enviar datos. La máquina que inicia la conexión se la conoce como cliente y a la otra como servidor.",,"Si considero que al ver la animación se puede llegar a entender mejor la teoría, ya que creo que más fácil entender la teoría de esa manera que en vez de las diapositivas, que no se llega a entender del todo lo que quiere decir. "
4/19/2023 11:47:24,"ITT,IST,IT",4,8.00,6.00,3,3,3,3,Animacion3D,B,Acierto,D,Fallo,C,Acierto,B,Acierto,C,Acierto,"El establecimiento de conexión sirve para poder enviar los mensajes desde el pc1 al pc2 y viceversa, es decir, para poder mandar un mensaje necesitas previamente establecer conexión con el otro pc para que sepa que va a recibir información y para tú saber que la información que vas a mandar va a ser recibida por otro pc y no se va a perder.",Si.,
4/19/2023 11:47:39,"ITT,IST,IT",4,8.00,5.00,3,3,2,2,Diapositivas,B,Acierto,A,Acierto,,Fallo,B,Acierto,C,Acierto,,,
4/19/2023 11:48:56,"ITT,IST,IT",4,8.00,2.00,1,1,1,1,Animacion3D,C,Fallo,A,Acierto,C,Acierto,B,Acierto,C,Acierto,es un proceso que se lleva a cabo entre dos dispositivos de red para establecer una conexion de comunicacion bidireccional ,,considero que me ayudaria si hubiese visto la animacion con las gafas
4/19/2023 11:49:03,"ITT,IST,IT",5,10.00,6.00,3,3,3,3,Animacion3D,B,Acierto,A,Acierto,C,Acierto,B,Acierto,C,Acierto,"Para el establecimiento de conexión, el intercambio de
datos y el cierre de la conexión.",si,
4/19/2023 11:49:07,"ITT,IST,IT",4,8.00,6.50,3,4,2,4,Animacion3D,B,Acierto,C,Fallo,C,Acierto,B,Acierto,C,Acierto,"Para un envío de datos de forma fiable, estableciendo conexión, intercambiando datos y cerrando la conexión.",si,
4/19/2023 11:50:09,"ITT,IST,IT",1,2.00,4.00,2,2,2,2,Animacion3D,B,Acierto,C,Fallo,A,Fallo,A,Fallo,B,Fallo,Sirve para permitir y controlar el acceso a la red de los diversos protocolos de una máquina ,"No, no he usado las gafas pero la parte teórica ha sido lo que realmente me ha ayudado a entender.",No necesariamente
4/19/2023 11:53:39,"ITT,IST,IT",5,10.00,10.00,5,5,5,5,Diapositivas,B,Acierto,A,Acierto,C,Acierto,B,Acierto,C,Acierto,"Dado que TCP es un protocolo orientado a conexión, este deberá asegurarse de que el receptor va a recibir los datos correspondientes.",,"Creo que sí pude haber respondido mejor a las preguntas porque TCP es algo más complejo que IP o Ethernet, aunque las animaciones de las transparencias acerca del establecimiento y cierre de la conexión y envío de datos están bastante bien para comprender el funcionamiento de TCP."
