Marca temporal,GRADO,ACIERTOS,NOTA,VALORA1,VALORA2,VALORA3,VALORA4,DEMO,P1,R_P1,P2,R_P2,P3,R_P3,P4,R_P4,P5,R_P5,P6,APRENDIZAJE1,APRENDIZAJE2
11/29/2022 11:59:37,BIO,1,"2,00",2,1,2,2,Animacion3D,A,Fallo,C,Fallo,C,Acierto,A,Fallo,A,Fallo,"Sirve para mandar mensajes, es decir, permite la comunicación, entre diferentes aplicaciones.","Sí, me ha ayudado ver la animación ya que verlo en movimiento permite ver el funcionamiento de mejor manera que simplemente en las diapositivas.",
11/29/2022 12:00:19,BIO,2,"4,00",4,3,2,2,Animacion3D,B,Acierto,C,Fallo,C,Acierto,C,Fallo,D,Fallo,"Sirve para fijar los puertos de intercambio, conocer la capacidad de intercambio de datos, comprobar la correcta conexión entre ambas máquinas. Para proporcionar fiabilidad principalmente.","Ayuda a resolver las dudas acerca del proceso de manera más intuitiva , además proporciona mayor información de cada máquina y trama en los distintos instantes del proceso.",
11/29/2022 12:01:06,BIO,2,"4,00",2,3,2,2,Diapositivas,B,Acierto,B,Fallo,D,Fallo,B,Acierto,B,Fallo,,,"Ver la animación 3D hubiese sido útil para entender mejor el número de paquetes  que se envían  de lado a lado en elprotocolo TCP( los asentimientos, cierres de conexión etc.)"
11/29/2022 12:02:11,BIO,3,"6,00",1,2,2,2,GafasVR,A,Fallo,A,Acierto,C,Acierto,B,Acierto,B,Fallo,para enviar mensajes entre maquinas no vecinas,Sí pero lo mejor sería qeu en la animacion de las gafas estuviera locutado con una explicación por los profesores,
11/29/2022 12:02:27,BIO,3,"6,00",2,2,3,3,Diapositivas,B,Acierto,A,Acierto,D,Fallo,D,Fallo,C,Acierto,"Es el nivel inferior al de aplicación, con él se accede a ella",,
11/29/2022 12:03:34,BIO,3,"6,00",2,2,2,2,GafasVR,B,Acierto,A,Acierto,C,Acierto,C,Fallo,B,Fallo,"Sirve para transportar datos de una máquina a otra, es a nivel de transporte por lo que puede ir de una máquina a otra estando solo por debajo del nivel de aplicación, por lo que puede transportar la información a nivel de aplicación","si, me ha ayudado viendolo de una forma más esquemática y gráfica",
11/29/2022 12:04:07,BIO,3,"6,00",3,3,3,3,Diapositivas,B,Acierto,B,Fallo,C,Acierto,B,Acierto,A,Fallo,"El establecimiento de conexión en TCP sirve para asegurarse de que los mensajes se intercambian correctamente y que ninguno de estos mensajes se pierde por el camino. Esto permite que la máquina receptora, a nivel de transporte sea capaz de reorganizar y enviar un mensaje que ha sido segmentado en el trayecto en un mensaje único para pasárselo a la aplicación. ",,"Con diapositivas, es más fácil parar y a pesar de que no todo es tan gráfico, si que es más fiel a una representación que uno podría hacer en papel. Por lo tanto, considero que es mejor usar la animación para captar la atención del participante, pero las diapositivas para alguien que no sabe del tema o que está estudiando y se distrae facilmente es la mejor herramienta. "
11/29/2022 12:04:18,BIO,4,"8,00",3,3,2,3,Diapositivas,B,Acierto,C,Fallo,C,Acierto,B,Acierto,C,Acierto,"Es un tipo de conexión fiable, orientada a conexión y que corrige los datos que se envían de forma errónea, por tanto, es útil en esos casos en los que se requiere una comunicación segura.",,"Sí creo que me podría haber ayudado, ya que es una forma más dinámica de verlo."
11/29/2022 12:04:58,BIO,4,"8,00",3,3,2,4,GafasVR,B,Acierto,A,Acierto,C,Acierto,B,Acierto,B,Fallo,El establecimiento de conexión sirve para que que ambas máquina sepan que el otro extremo esta preparado para recibir datos. Y que sus paquetes van a llegar a su destino.,"La animación ayuda a visualizar mejor el intercambio de mensajes, sobretodo en esta prática la animación simplificada del protocolo TCP. 
Aunque a veces se te escapa algún detalle y como no se puede volver a atrás, se tiene que reiniciar desde el principio o esperar que termine, entonces a lo mejor ya se te ha olvidado el momento donde sucedía lo que querías ver. 
Por el resto, considero que las animaciones solo ayudan y no resultan negativas en ningún aspecto.",
11/29/2022 12:15:20,BIO,5,"10,00",2,4,3,2,Animacion3D,B,Acierto,A,Acierto,C,Acierto,B,Acierto,C,Acierto,"Para la transmisión de datos entre un cliente y un servidor, siendo el cliente y el servidor dos máquinas presentes en una red. el cliente emplea un puerto por el que envía los datos y el servidor los recibe por otro, Y añade una serie de asentimientos para asegurar la fiabilidad","Para el caso del protocolo tcp resulta más comodo el uso de animaciones para visualizar cada uno de los pasos, desde el establecimiento de la conexión, el intercambio de datos y finalmente el cierre de la conexión.",
11/29/2022 12:18:38,BIO,5,"10,00",3,3,2,3,GafasVR,B,Acierto,A,Acierto,C,Acierto,B,Acierto,C,Acierto,"Tcp es la parte del protocolo TCP IP que se encarga de gobernar el acceso múltiple a la red. Concretamente, se encarga de gobernar el acceso a la red de las diferentes aplicaciones de una máquina. TCP es un protocolo con ocnexión, emisor y receptor se comunican antes del envío de datos y al final. Sirve para da muchísima fiabilidad a la comunicación, ya que se establece si dos máquinas se pueden comunicar, si llegamos al receptor, si el receptor llega al emisor... y también parámetros como el tamaño máximo quepodemos mandar a un puerto antes de que se sature, que es l peor que puede pasar en la red, que gastemos ancho de banda para llegar a receptor y que éstetenga que descartar la trama.","Sí, sin embargo, podría hacer más detenimiento en el nivel de TCP para identificar bien todos os campos de la cabecera y datos, ya que va un poco rápido y se detiene mucho tiempo en Ethernet, Red... cuando esos casos ya conocemos como van podrían pasarse antes y el de transporte podría durar más. (O ir con los campos importantes resaltados, SYN, FIN....)",
11/29/2022 12:19:15,BIO,5,"10,00",4,3,3,4,GafasVR,B,Acierto,A,Acierto,C,Acierto,B,Acierto,C,Acierto,"Permite que los datos lleguen a la aplicación destino y tal y como la aplicación origen (organizados, sin errores y sin duplicados).","Sí, porque permite estudiar como funciona TCP de manera más interactiva",
11/29/2022 12:20:41,BIO,5,"10,00",3,4,4,4,GafasVR,B,Acierto,A,Acierto,C,Acierto,B,Acierto,C,Acierto,Para que las maquinas sepan los números de secuencia de la otra y puedan entonces asentir si les llegan los datos esperados ,,
11/29/2022 12:21:30,BIO,4,"8,00",3,3,2,2,Animacion3D,B,Acierto,B,Fallo,C,Acierto,B,Acierto,C,Acierto,"Para que la máquina con la que se ha establecido conexión sepa que van a empezar a llegarle mensajes de TCP. Además si la máquina no tiene un puerto disponible, no es accesible o no existe, no se podrá establecer conexión con ella y la máquina que envía mensajes no empezará a mandarlos ni entrará en bucle por no recibir respuestas.
Para terminar, el hecho de que la máquina a la que se le está mandando la información deba contestar le indica a la máquina que envía la información que existe tanto un camino de ida como un camino de vuelta hacia ella, y que puede intercambiar información con la otra máquina sin problemas.","Considero que en esta práctica me ha sido más de ayuda la intervención del profesorado para resolver dudas y el dibujar el viaje de los paquetes en un papel que la propia animación. No considero que me haya ayudado a responder.

La primera animación se me ha hecho un poco difícil de seguir, mientras que la segunda era demasiado lenta y tardaba demasiado en llegar a las partes interesantes. Considero que un botón para controlar el punto de la animación que se desea visualizar sería muy útil en casos como este, donde quieres retroceder o avanzar para ver cosas que se te pasaron pero la animación es tan larga que no te renta darle al botón de reset.",
11/29/2022 12:23:17,BIO,5,"10,00",4,3,4,2,Animacion3D,B,Acierto,A,Acierto,C,Acierto,B,Acierto,C,Acierto,"El establecimiento de la conexión TCP sirve para establecer la conexión entre 2 aplicaciones en máquinas distintas en un puerto determinado en cada una de ellas. Se generan mensajes de establecimiento de la conexión, se comunican y se establece el cierre de la conexión. Para ello se emplean flags y números de secuencia y de asentimiento. Así nos aseguramos de que cada aplicación recibe toda la información y la recibe en orden.","Me ha ayudado el poder ver los mensajes TCP por separado del resto de protocolos cuando queremos establecer una conexión para entenderlo y en la segunda animación ver cómo se fusiona este protocolo con el resto. Sin embargo, si ya hemos entendido cómo funcionan los protocolos IP y ethernet, con tantos routers se hace muy lento el poder llegar a ver el funcionamiento de TCP si es lo que no se tiene claro.",
11/29/2022 14:00:53,ROB,3,"6,00",3,2,2,2,GafasVR,A,Fallo,C,Fallo,C,Acierto,B,Acierto,C,Acierto,Para asegurar que la información llega de un pc a otro de forma segura sin perder información.,Si pues ayuda a enender como funcionan los flags del protocolo TCP y entender mejor el concepto de protocolo de extremo a extremo.,
11/29/2022 14:02:13,ROB,5,"10,00",3,3,3,3,GafasVR,B,Acierto,A,Acierto,C,Acierto,B,Acierto,C,Acierto,El protocolo TCP proporciona una comunicacion entre varios puertos de una maquina de forma segura y sabiendo que lo que se envio llego correctamente.,"Si , porque se puede ver todo mas graficamente ",
11/29/2022 14:02:34,ROB,3,"6,00",2,3,2,2,GafasVR,A,Fallo,D,Fallo,C,Acierto,B,Acierto,C,Acierto,"No lo sé y no he entendido/estudiado el protocolo en profundidad, pero he intentado responder las preguntas en base a lo que he visto en la animación. No sé lo que es el ACK, ni lo que significan las diferentes FLAGS ni el window size ni la relación que hay entre los números de secuencia.","Sí, porque no tengo ni idea de cómo funciona el protocolo y al menos con haber visto cómo funciona me puedo hacer una idea para que mis respuestas no sean completamente aleatorias.",
11/29/2022 14:04:48,ROB,2,"4,00",1,1,1,1,Diapositivas,A,Fallo,A,Acierto,C,Acierto,A,Fallo,B,Fallo,"Para evitar la pérdida o el duplicado de los paquetes que se intercambian entre las máquinas. De esta forma nos aseguramos de que nos llegan los paquetes en orden, no están duplicados y que está toda la información que se quería enviar. También ayuda a que no se tengan que buscar las máquinas cada vez que quieran intercambiar información.",,"Como no tenía mucho conocimiento del tema de por sí, creo que me ha venido bien repasar las diapositivas. Pero sí que echo en falta la visualización de lo que ocurre entre las máquinas ya que con los dibujos de las transparencias no lo llego a entender tan bien."
11/29/2022 14:04:49,ROB,3,"6,00",2,2,3,5,GafasVR,B,Acierto,D,Fallo,C,Acierto,B,Acierto,B,Fallo,Para que las máquinas puedan comunicarse correctamente,"No, porque lo he visto con las gafas y el escenario era muy pequeño, se movía muy rápido y no daba tiempo a seguirlo, entonces no se podía tener una vita general de lo qu estaba pasando ",
11/29/2022 14:05:07,ROB,5,"10,00",4,5,3,4,Animacion3D,B,Acierto,A,Acierto,C,Acierto,B,Acierto,C,Acierto,"Sirve para establecer conexion entre un cliente y un servidor e intercambiar datos. Como es un protocolo de conexion segura, no se pueden perder datos y por ello se usan los ACK para ver que se han recibido los mensajes",Es muy bueno haber visualizado todo ya que es mas visual el proceso de envio de datos,
11/29/2022 14:05:32,ROB,4,"8,00",3,3,3,3,GafasVR,B,Acierto,A,Acierto,C,Acierto,D,Fallo,C,Acierto,Para poder realizar el intercambio de datos entre um cliente y un servidor.,"Considero que ver la animación en vr me ha ayudado a verlo todo un poco más claro, ya que he podido ver el proceso paso a paso y observar con detalle que cambiaba en cada paso. Sin embargo, me ha parecido que la distancia entre las dos máquinas es demasiado alta y debido a la escasa velocidad del pj se hace tedioso ir de una punta a otra. Además, al tener el segundo escenario dos routers entre medias de los pcs la animación se hace demasiado larga.",
11/29/2022 14:05:47,ROB,3,"6,00",1,1,1,1,GafasVR,B,Acierto,C,Fallo,C,Acierto,B,Acierto,B,Fallo,Se encarga de la comunicación punto a punto (entre dos máquinas),"Sí, ayuda a visualizarlo mejor",
11/29/2022 14:05:48,ROB,4,"8,00",3,4,3,3,Animacion3D,B,Acierto,D,Fallo,C,Acierto,B,Acierto,C,Acierto,"Principalmente sirve para entrar en contacto con la maquina de destino, compartir una serie de características para ponerse de acuerdo y asegurar una conexión segura donde se asegura el intercambio de datos sin errores ni fallos de ningún modo.","Sí, me ha ayudado a ver de forma más gráfica el funcionamiento del protocolo TCP, y sus características y funciones",
11/29/2022 14:06:59,ROB,3,"6,00",3,3,4,4,Diapositivas,B,Acierto,B,Fallo,C,Acierto,C,Fallo,C,Acierto,"El establecimiento de la conexión en este protocolo, permite garantizar que, en uso normal garantiza una conexón satisfactoria entre las maquinas. Ademas hace que este metodo se considere fiable ya que puede recuperarse de las posibles pérdidas y desorden producido por el protocolo IP. Por otra parte que permite el envio simultaneo de ambas maquinas con numeros de secuencia que hacen posible el reordenamiento de las tramas generadas por routers intermedios.

",,Es posible que haber visto la animación hubiera conseguido una mayor razonamiento del funcionamiento asi como uan mejor forma de recordar los paquetes que se crean en el establecimiento y cierre de la conexión. 
11/29/2022 14:07:07,ROB,5,"10,00",3,3,3,3,Animacion3D,B,Acierto,A,Acierto,C,Acierto,B,Acierto,C,Acierto,"Sirve para el envio de datos de extremo a extremo, con el fin de establecer conexion e intercambiar datos entre dos ordenadores de forma fiable","Creo que no me ha ayudado mucho porque si no te acuerdas de lo que significa un determinado valor del datagrama Tcp, no sabes que significado tiene",
